" Appointment"," OTP"," Member"," Affiliation"," Start date"," End date"," Status"
"Convener of subgroup: W, Z Physics // Activities and Detector Projects // Physics // Physics Analysis Groups // Standard Model physics group","","MATTHIAS, Schott","Bonn(Germany)","2010-04-01","2011-06-30","inactive"
" Convener of subgroup: Top Mass (discontinued on 31.03.2020) // Activities and Detector Projects // Physics // Physics Analysis Groups // Top physics group","","IAN, Brock","Bonn(Germany)","2011-10-01","2013-02-28","inactive"
"Convener of subgroup: Single Top (discontinued on 31.03.2020) // Activities and Detector Projects // Physics // Physics Analysis Groups // Top physics group","","REGINA, Moles Valls","Bonn(Germany)","2017-10-01","2019-08-31","inactive"
"Convener of subgroup: HLep / Htautau (HSG4) // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs physics group","0","JUERGEN, Kroseberg","Bonn(Germany)","2010-04-01","2011-03-31","inactive"
"Convener of subgroup: HLep / Htautau (HSG4) // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs physics group","0","CHRISTIAN, Grefe","Bonn(Germany)","2016-04-01","2017-09-30","inactive"
"Muon Run Coordinator // Activities and Detector Projects // Muon Spectrometer // Run Coordination","","EFSTATHIOS, Karentzos","Bonn(Germany)","2023-04-01","2024-02-29","inactive"
"Convener of subgroup: Calibrations // Activities and Detector Projects // Physics // Combined Performance Groups // Flavour tagging CP group","0","TATJANA, Lenz","Bonn(Germany)","2016-10-01","2017-09-30","inactive"
"Convener of subgroup: Photon Identification and Efficiencies // Activities and Detector Projects // Physics // Combined Performance Groups // Egamma CP group","0","OLEH, Kivernyk","Bonn(Germany)","2018-04-01","2020-03-31","inactive"
"Convener of subgroup: Reconstruction and Software // Activities and Detector Projects // Physics // Combined Performance Groups // Egamma CP group","0","OLEH, Kivernyk","Bonn(Germany)","2020-04-01","2022-03-31","inactive"
"Pixel Run Coordinator // Activities and Detector Projects // Inner Detector (ID) // Pixel // Level-3 Coordinators","0","KERSTIN, Lantzsch","Bonn(Germany)","2016-11-01","2017-04-30","inactive"
"Pixel Run Coordinator // Activities and Detector Projects // Inner Detector (ID) // Pixel // Level-3 Coordinators","0","KERSTIN, Lantzsch","Bonn(Germany)","2015-03-01","2015-08-31","inactive"
"MC Production Coordinator // Activities and Detector Projects // Software and Computing // ADC","0","WOLFGANG, Ehrenfeld","Bonn(Germany)","2012-03-01","2013-09-30","inactive"
"TRT Online Monitoring Expert // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","CHRISTIAN, Grefe","Bonn(Germany)","2023-01-01","2023-12-31","inactive"
"TRT Online Monitoring Expert // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","CHRISTIAN, Grefe","Bonn(Germany)","2021-01-01","2022-12-30","inactive"
"TRT Online Monitoring Expert // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","CHRISTIAN, Grefe","Bonn(Germany)","2014-11-01","2016-12-31","inactive"
"TRT Online Monitoring Expert // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","CHRISTIAN, Grefe","Bonn(Germany)","2014-03-01","2018-12-31","inactive"
"TRT Software Coordinator // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","CHRISTIAN, Grefe","Bonn(Germany)","2024-09-01","2025-08-31","active"
"TRT Software Coordinator // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","CHRISTIAN, Grefe","Bonn(Germany)","2023-09-01","2024-08-31","inactive"
"TRT Software Coordinator // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","CHRISTIAN, Grefe","Bonn(Germany)","2018-09-01","2020-09-01","inactive"
"TRT Software Coordinator // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","CHRISTIAN, Grefe","Bonn(Germany)","2021-09-01","2023-08-31","inactive"
"TRT Software Coordinator // Activities and Detector Projects // Inner Detector (ID) // TRT // Level-3 Coordinators","","CHRISTIAN, Grefe","Bonn(Germany)","2019-09-01","2021-08-31","inactive"
"Convener of subgroup: Generator Infrastructure and Tools // Activities and Detector Projects // Physics // Physics Analysis Groups // Physics Modeling group","","YNYR, Harris","Bonn(Germany)","2025-01-01","2026-12-31","active"
"Convener of subgroup: HBSM // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs & Diboson Searches (HDBS) group","0","TATJANA, Lenz","Bonn(Germany)","2022-04-01","2024-03-31","inactive"
"Pixel Technical Coordinator // Activities and Detector Projects // Inner Detector (ID) // Pixel // Level-3 Coordinators","0","KERSTIN, Lantzsch","Bonn(Germany)","2021-05-01","2022-02-28","inactive"
"Physics Office Member // General // Physics Office // Appointments","0","IAN, Brock","Bonn(Germany)","2017-06-01","2025-12-31","active"
"Physics Office Member // General // Physics Office // Appointments","0","TATJANA, Lenz","Bonn(Germany)","2019-05-01","2025-12-31","active"
"ITk Pixel Outer Barrel Representative // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Pixels","","MATTHIAS, Hamer","Bonn(Germany)","2024-12-01","2026-03-31","active"
"ITk Pixel FE-chip Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Pixels // Level-3 Coordinators","","JOCHEN CHRISTIAN, Dingfelder","Bonn(Germany)","2024-04-01","2026-03-31","active"
"ITk Pixel Hybridisation Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Pixels // Level-3 Coordinators","","FABIAN, Huegging","Bonn(Germany)","2014-04-01","2021-09-30","inactive"
"ITk Pixel Hybridisation Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Pixels // Level-3 Coordinators","","FABIAN, Huegging","Bonn(Germany)","2024-04-01","2026-03-31","active"
"ITk Pixel Hybridisation Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Pixels // Level-3 Coordinators","","FABIAN, Huegging","Bonn(Germany)","2021-10-01","2024-03-31","inactive"
"ITk Pixel Off-detector Services Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Pixels // Level-3 Coordinators","","MATTHIAS, Hamer","Bonn(Germany)","2019-02-01","2021-12-31","inactive"
"Muon DCS Coordinator // Activities and Detector Projects // Muon Spectrometer // DCS","","EFSTATHIOS, Karentzos","Bonn(Germany)","2024-10-01","2025-03-01","active"
"Muon DQA Coordinator // Activities and Detector Projects // Muon Spectrometer // DQA","","MATTHIAS, Schott","Bonn(Germany)","2024-07-01","2024-12-31","inactive"
"Muon DQA Coordinator // Activities and Detector Projects // Muon Spectrometer // DQA","","MATTHIAS, Schott","Bonn(Germany)","2018-09-01","2022-02-28","inactive"
"Muon DQA Coordinator // Activities and Detector Projects // Muon Spectrometer // DQA","","MATTHIAS, Schott","Bonn(Germany)","2016-09-01","2016-12-31","inactive"
"Convener LHC Electroweak WG // Activities and Detector Projects // Physics // Physics Analysis Groups // LHC Working Groups","","MATTHIAS, Schott","Bonn(Germany)","2018-10-01","2020-09-30","inactive"
"Muon MM Operation Manager // Activities and Detector Projects // Muon Spectrometer // MM // Level-3 coordinators","","STELIAN, Buda","Bonn(Germany)","2024-03-01","2026-02-28","active"
"Muon Phase II DCS Coordinator // Activities and Detector Projects // Muon Spectrometer // Phase-II Upgrade","","EFSTATHIOS, Karentzos","Bonn(Germany)","2024-08-15","2025-02-15","active"
"Convener of subgroup: Central Methods and Background Forum (CMBF) // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs, Multi-Boson, and SUSY searches group","","TATJANA, Lenz","Bonn(Germany)","2024-10-01","2026-09-30","active"
"Computing Coordinator // Activities and Detector Projects // Software and Computing",".24","JIM, Shank","Boston(United States of America)","2011-03-01","2012-02-29","inactive"
"Computing Deputy Coordinator // Activities and Detector Projects // Software and Computing",".24","JIM, Shank","Boston(United States of America)","2010-03-01","2011-02-28","inactive"
"Speakers Committee member // General // Speakers Committee // Appointments",".3","KEVIN, Black","Boston(United States of America)","2017-10-01","2018-08-31","inactive"
"Speakers Committee member // General // Speakers Committee // Appointments",".3","JOHN MARK, Butler","Boston(United States of America)","2013-11-01","2016-09-30","inactive"
"SCAB Chair // General // Speakers Committee Advisory Board (SCAB)",".15","JOHN MARK, Butler","Boston(United States of America)","2020-03-01","2021-02-28","inactive"
"SCAB Member // General // Speakers Committee Advisory Board (SCAB) // Appointments",".15","JOHN MARK, Butler","Boston(United States of America)","2019-03-01","2021-02-28","inactive"
"SCAB Deputy Chair // General // Speakers Committee Advisory Board (SCAB)",".15","JOHN MARK, Butler","Boston(United States of America)","2019-10-01","2020-02-29","inactive"
"Trigger Muon Signature Coordinator // Activities and Detector Projects // Trigger // Trigger Menu and Performance","0","KEVIN, Black","Boston(United States of America)","2012-03-01","2015-02-28","inactive"
"Convener of subgroup: Top Pair Cross-Section // Activities and Detector Projects // Physics // Physics Analysis Groups // Top physics group","","KEVIN DANIEL, Finelli","Boston(United States of America)","2014-08-01","2016-03-31","inactive"
"Convener of subgroup: Single Top (discontinued on 31.03.2020) // Activities and Detector Projects // Physics // Physics Analysis Groups // Top physics group","","KEVIN DANIEL, Finelli","Boston(United States of America)","2016-10-01","2017-09-30","inactive"
"Convener of subgroup: Heavy Quarks, Top and Composite Higgs (HQT) // Activities and Detector Projects // Physics // Physics Analysis Groups // Exotics physics group","0","KEVIN, Black","Boston(United States of America)","2013-10-01","2014-09-30","inactive"
"Convener Heavy Ions WG // Activities and Detector Projects // Physics // Physics Analysis Groups",".3","DENNIS, Perepelitsa","Boulder(United States of America)","2020-10-01","2022-04-30","inactive"
"Convener of subgroup: Jets // Activities and Detector Projects // Physics // Physics Analysis Groups // Heavy Ion physics group","0","CHRISTOPHER, Mc Ginn","Boulder(United States of America)","2023-04-01","2023-07-31","inactive"
"Convener of subgroup: Jets // Activities and Detector Projects // Physics // Physics Analysis Groups // Heavy Ion physics group","0","DENNIS, Perepelitsa","Boulder(United States of America)","2019-04-01","2020-09-30","inactive"
"Convener of subgroup: Electro-Weak and Quarkonia // Activities and Detector Projects // Physics // Physics Analysis Groups // Heavy Ion physics group","","DENNIS, Perepelitsa","Boulder(United States of America)","2017-10-01","2019-09-30","inactive"
"Convener of subgroup: Electro-Weak and Quarkonia // Activities and Detector Projects // Physics // Physics Analysis Groups // Heavy Ion physics group","","DENNIS, Perepelitsa","Boulder(United States of America)","2016-10-01","2017-09-30","inactive"
"Convener Muon CP // Activities and Detector Projects // Physics // Combined Performance Groups",".3","GABRIELLA, Sciolla","Brandeis(United States of America)","2014-10-01","2016-09-30","inactive"
"Convener of subgroup: W, Z Physics // Activities and Detector Projects // Physics // Physics Analysis Groups // Standard Model physics group","","ARAM, Apyan","Brandeis(United States of America)","2025-04-01","2027-03-31","upcoming"
"Convener of subgroup: Tracking and Vertexing for Prompt and Displaced Particles // Activities and Detector Projects // Physics // Combined Performance Groups // Tracking CP group","","GUGLIELMO, Frattari","Brandeis(United States of America)","2023-04-01","2024-09-30","inactive"
"TC - Operation Manager // Activities and Detector Projects // Technical Coordination // Operations","0","KENDALL, Reeves","Brandeis(United States of America)","2013-01-01","2017-02-28","inactive"
"Early Career Scientist Board (ECSB) member // General // Early Career Scientist Board (ECSB)",".1","SHALU, Solomon","Brandeis(United States of America)","2022-03-01","2024-02-29","inactive"
"Convener of subgroup: Dibosons, Multileptons and Extra Dimensions (DBL) // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs & Diboson Searches (HDBS) group","0","SHALU, Solomon","Brandeis(United States of America)","2023-10-01","2024-09-30","inactive"
"Convener of subgroup: Jet in situ Calibration and Resolution (JetInSitu) // Activities and Detector Projects // Physics // Combined Performance Groups // Jet/Etmiss CP group","0","DANIEL, Camarero Munoz","Brandeis(United States of America)","2022-10-01","2024-09-30","inactive"
"ITk PSO Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk)","","KENDALL, Reeves","Brandeis(United States of America)","2018-03-01","2025-02-28","active"
"ITk Deputy Mechanics Activity Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Mechanics","","KIRSTY LYNN, Veale","Brandeis(United States of America)","2020-03-01","2023-02-28","inactive"
"ITk Deputy Mechanics Activity Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Mechanics","","KIRSTY LYNN, Veale","Brandeis(United States of America)","2023-03-01","2023-08-31","inactive"
"ITk Services Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Mechanics // Level-3 Coordinators","","KIRSTY LYNN, Veale","Brandeis(United States of America)","2020-03-08","2023-02-28","inactive"
"ITk Services Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Mechanics // Level-3 Coordinators","","KIRSTY LYNN, Veale","Brandeis(United States of America)","2023-03-01","2023-08-31","inactive"
"ITk Services Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Mechanics // Level-3 Coordinators","","ALAM, Toro","Brandeis(United States of America)","2023-09-01","2025-02-28","active"
"ITk Strip System Test Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Strips // Level-3 Coordinators","","DOMINIQUE, Trischuk","Brandeis(United States of America)","2023-06-26","2025-09-30","active"
"ITk Online Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // General","","DOMINIQUE, Trischuk","Brandeis(United States of America)","2024-10-10","2027-02-28","active"
"Convener of subgroup: Resonant Multileptons // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs and Di-Higgs Physics group","","GUGLIELMO, Frattari","Brandeis(United States of America)","2024-10-01","2026-09-30","active"
"Convener of subgroup: Multi-Boson Lab (MBL) // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs, Multi-Boson, and SUSY searches group","","SHALU, Solomon","Brandeis(United States of America)","2024-10-01","2025-01-31","inactive"
"ITk Strip Online DAQ Coordinator // Activities and Detector Projects // Inner Tracker for Phase-II (ITk) // Strips // Level-3 Coordinators","","DOMINIQUE, Trischuk","Brandeis(United States of America)","2024-08-01","2025-09-30","active"
"SCAB Member // General // Speakers Committee Advisory Board (SCAB) // Appointments",".15","STANO, Tokar","Bratislava(Slovak Republic)","2012-03-01","2014-02-28","inactive"
"Tile Calorimeter Data Quality Coordinator // Activities and Detector Projects // Tile Calorimeter // Software and Data integrity // Level-3 Coordinators","0","TIBOR, Zenis","Bratislava(Slovak Republic)","2015-03-01","2017-02-28","inactive"
"Tile Calorimeter Data Quality Coordinator // Activities and Detector Projects // Tile Calorimeter // Software and Data integrity // Level-3 Coordinators","0","TIBOR, Zenis","Bratislava(Slovak Republic)","2021-03-01","2023-02-28","inactive"
"Tile Calorimeter Data Quality Coordinator // Activities and Detector Projects // Tile Calorimeter // Software and Data integrity // Level-3 Coordinators","0","TIBOR, Zenis","Bratislava(Slovak Republic)","2019-03-01","2021-02-28","inactive"
"Tile Calorimeter Data Quality Coordinator // Activities and Detector Projects // Tile Calorimeter // Software and Data integrity // Level-3 Coordinators","0","TIBOR, Zenis","Bratislava(Slovak Republic)","2017-03-01","2019-02-28","inactive"
"Tile Calorimeter Data Quality Coordinator // Activities and Detector Projects // Tile Calorimeter // Software and Data integrity // Level-3 Coordinators","0","TIBOR, Zenis","Bratislava(Slovak Republic)","2023-03-01","2025-02-28","active"
"Tile Calorimeter Data Quality Coordinator // Activities and Detector Projects // Tile Calorimeter // Software and Data integrity // Level-3 Coordinators","0","TIBOR, Zenis","Bratislava(Slovak Republic)","2013-03-01","2015-02-28","inactive"
"Tile Calorimeter Data Quality Coordinator // Activities and Detector Projects // Tile Calorimeter // Software and Data integrity // Level-3 Coordinators","0","TIBOR, Zenis","Bratislava(Slovak Republic)","2011-03-01","2013-02-28","inactive"
"Collaboration Board Chair // General // Collaboration Board",".3","HOWARD, Gordon","Brookhaven BNL(United States of America)","2014-01-01","2015-12-31","inactive"
"Collaboration Board Deputy Chair // General // Collaboration Board",".3","HOWARD, Gordon","Brookhaven BNL(United States of America)","2016-01-01","2016-12-31","inactive"
"Collaboration Board Deputy Chair // General // Collaboration Board",".3","HOWARD, Gordon","Brookhaven BNL(United States of America)","2013-01-01","2013-12-31","inactive"
"Trigger Coordinator // Activities and Detector Projects // Trigger",".3","SRINI, Rajagopalan","Brookhaven BNL(United States of America)","2010-10-01","2011-09-30","inactive"
"Trigger Deputy Coordinator // Activities and Detector Projects // Trigger",".2","SRINI, Rajagopalan","Brookhaven BNL(United States of America)","2009-10-01","2010-09-30","inactive"
"Data Preparation Coordinator // Activities and Detector Projects // Data Preparation",".3","PAUL JAMES, Laycock","Brookhaven BNL(United States of America)","2015-10-01","2016-09-30","inactive"
"Data Preparation Deputy Coordinator // Activities and Detector Projects // Data Preparation",".3","PAUL JAMES, Laycock","Brookhaven BNL(United States of America)","2014-10-01","2015-09-30","inactive"
"Computing Coordinator // Activities and Detector Projects // Software and Computing",".24","TORRE, Wenaus","Brookhaven BNL(United States of America)","2017-10-01","2018-09-30","inactive"
"Computing Coordinator // Activities and Detector Projects // Software and Computing",".24","ERIC, Lancon","Brookhaven BNL(United States of America)","2015-03-01","2016-02-29","inactive"
"Computing Deputy Coordinator // Activities and Detector Projects // Software and Computing",".24","ERIC, Lancon","Brookhaven BNL(United States of America)","2014-03-01","2015-02-28","inactive"
"Computing Deputy Coordinator // Activities and Detector Projects // Software and Computing",".24","TORRE, Wenaus","Brookhaven BNL(United States of America)","2016-03-01","2017-09-30","inactive"
"Software Coordinator // Activities and Detector Projects // Software and Computing // Software","","JOHANNES, Elmsheuser","Brookhaven BNL(United States of America)","2020-10-16","2022-10-31","inactive"
"Muon IB Chair // Activities and Detector Projects // Muon Spectrometer",".15","VENETIOS, Polychronakos","Brookhaven BNL(United States of America)","2004-03-01","2006-02-28","inactive"
"Publication Committee Chair // General // Publications Committee",".3","GEORGE, Redlinger","Brookhaven BNL(United States of America)","2022-03-01","2023-02-28","inactive"
"Publication Committee member // General // Publications Committee // Appointments",".15","VIVIANA, Cavaliere","Brookhaven BNL(United States of America)","2023-03-01","2025-02-28","active"
"Publication Committee member // General // Publications Committee // Appointments",".15","GEORGE, Redlinger","Brookhaven BNL(United States of America)","2013-03-01","2015-02-28","inactive"
"Speakers Committee member // General // Speakers Committee // Appointments",".3","PETER ALAN, Steinberg","Brookhaven BNL(United States of America)","2024-10-01","2027-09-30","active"
"Convener Muon CP // Activities and Detector Projects // Physics // Combined Performance Groups",".3","GAETANO, Barone","Brookhaven BNL(United States of America)","2021-10-01","2023-03-15","inactive"
"Convener jet/Etmiss CP // Activities and Detector Projects // Physics // Combined Performance Groups",".3","MICHAEL, Begel","Brookhaven BNL(United States of America)","2012-10-01","2014-09-30","inactive"
"Convener Standard Model WG // Activities and Detector Projects // Physics // Physics Analysis Groups",".3","ALESSANDRO, Tricoli","Brookhaven BNL(United States of America)","2013-10-01","2015-09-30","inactive"
"Convener SUSY WG // Activities and Detector Projects // Physics // Physics Analysis Groups",".24","GEORGE, Redlinger","Brookhaven BNL(United States of America)","2009-10-01","2011-09-30","inactive"
"Convener Higgs WG // Activities and Detector Projects // Physics // Physics Analysis Groups",".24","KETEVI ADIKLE, Assamagan","Brookhaven BNL(United States of America)","2008-10-01","2010-10-01","inactive"
"Convener Heavy Ions WG // Activities and Detector Projects // Physics // Physics Analysis Groups",".3","PETER ALAN, Steinberg","Brookhaven BNL(United States of America)","2016-10-01","2018-09-30","inactive"
"Convener Heavy Ions WG // Activities and Detector Projects // Physics // Physics Analysis Groups",".3","PETER ALAN, Steinberg","Brookhaven BNL(United States of America)","2008-10-01","2011-09-30","inactive"
"Publication Committee Deputy Chair // General // Publications Committee",".15","GEORGE, Redlinger","Brookhaven BNL(United States of America)","2021-03-01","2022-02-28","inactive"
"CB Chair Advisory Group member // General // Collaboration Board // Appointments","0","SRINI, Rajagopalan","Brookhaven BNL(United States of America)","2008-01-01","2009-12-31","inactive"
"CB Chair Advisory Group member // General // Collaboration Board // Appointments","0","ALESSANDRO, Tricoli","Brookhaven BNL(United States of America)","2022-01-01","2023-12-31","inactive"
"Statistics Forum Co-convener (discontinued) // Activities and Detector Projects // Physics // Statistics Forum","0","GEORGE, Redlinger","Brookhaven BNL(United States of America)","2015-10-01","2017-09-30","inactive"
"TDAQ Speakers Committee member // Activities and Detector Projects // Trigger and Data Acquisition (TDAQ) // General",".2","DENIS, Oliveira Damazio","Brookhaven BNL(United States of America)","2012-11-01","2014-10-31","inactive"
"ICB Chair (without OTP; discontinued) // Activities and Detector Projects // Software and Computing","0","ERIC, Lancon","Brookhaven BNL(United States of America)","2009-03-01","2011-04-30","inactive"
"ICB Chair (without OTP; discontinued) // Activities and Detector Projects // Software and Computing","0","ERIC, Lancon","Brookhaven BNL(United States of America)","2011-05-01","2012-12-31","inactive"
"International Computing Board Chair // Activities and Detector Projects // Software and Computing",".15","ERIC, Lancon","Brookhaven BNL(United States of America)","2013-01-01","2013-04-30","inactive"
"International Computing Board Chair // Activities and Detector Projects // Software and Computing",".15","ERIC, Lancon","Brookhaven BNL(United States of America)","2013-05-01","2014-02-28","inactive"
"LAr Phase-I Upgrade Project Leader // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr)",".24","HUCHENG, Chen","Brookhaven BNL(United States of America)","2017-03-01","2019-02-28","inactive"
"LAr Phase-I Upgrade Project Leader // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr)",".24","HUCHENG, Chen","Brookhaven BNL(United States of America)","2016-03-01","2017-02-28","inactive"
"LAr Phase-I Upgrade Project Leader // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr)",".24","HUCHENG, Chen","Brookhaven BNL(United States of America)","2019-03-01","2020-02-28","inactive"
"Trigger E/gamma Signature Coordinator // Activities and Detector Projects // Trigger // Trigger Menu and Performance","0","DENIS, Oliveira Damazio","Brookhaven BNL(United States of America)","2013-03-01","2015-02-28","inactive"
"Trigger E/gamma Signature Coordinator // Activities and Detector Projects // Trigger // Trigger Menu and Performance","0","ALESSANDRO, Tricoli","Brookhaven BNL(United States of America)","2011-03-01","2013-02-28","inactive"
"DP - Conditions Coordinator // Activities and Detector Projects // Data Preparation // Conditions","0","PAUL JAMES, Laycock","Brookhaven BNL(United States of America)","2009-01-01","2011-12-31","inactive"
"DP - Data Curation and Characterisation (DCC) Coordinator (previously Metadata Coordinator) // Activities and Detector Projects // Software and Computing // ATLAS Database and Metadata (ADAM) // Database and Metadata Evolution","0","PAUL JAMES, Laycock","Brookhaven BNL(United States of America)","2017-01-01","2017-03-31","inactive"
"Trigger Jet Signature Coordinator // Activities and Detector Projects // Trigger // Trigger Menu and Performance","0","MICHAEL, Begel","Brookhaven BNL(United States of America)","2010-03-01","2013-02-28","inactive"
"Trigger Jet Signature Coordinator // Activities and Detector Projects // Trigger // Trigger Menu and Performance","0","WILL, Kalderon","Brookhaven BNL(United States of America)","2017-04-01","2019-05-31","inactive"
"Trigger HLT Calo Software Coordinator // Activities and Detector Projects // Trigger // Trigger Menu and Performance","0","DENIS, Oliveira Damazio","Brookhaven BNL(United States of America)","2008-01-01","2013-02-28","inactive"
"Trigger HLT Calo Software Coordinator // Activities and Detector Projects // Trigger // Trigger Menu and Performance","0","DENIS, Oliveira Damazio","Brookhaven BNL(United States of America)","2015-05-01","2025-09-30","active"
"Trigger Operations and Monitoring Coordinator // Activities and Detector Projects // Trigger","0","NATHAN EDWARD, Triplett","Brookhaven BNL(United States of America)","2013-03-01","2013-06-30","inactive"
"Trigger Menu and Signature Performance Coordinator // Activities and Detector Projects // Trigger","0","ALESSANDRO, Tricoli","Brookhaven BNL(United States of America)","2013-03-01","2013-09-30","inactive"
"Trigger Menu and Signature Performance Coordinator // Activities and Detector Projects // Trigger","0","SRINI, Rajagopalan","Brookhaven BNL(United States of America)","2008-01-01","2010-09-30","inactive"
"Trigger Menu and Signature Performance Coordinator // Activities and Detector Projects // Trigger","0","WILL, Kalderon","Brookhaven BNL(United States of America)","2020-01-01","2020-12-31","inactive"
"Convener of subgroup: Electro-Weak and Quarkonia // Activities and Detector Projects // Physics // Physics Analysis Groups // Heavy Ion physics group","","PETER ALAN, Steinberg","Brookhaven BNL(United States of America)","2014-10-01","2016-09-30","inactive"
"Convener of subgroup: Jet and Photon Physics // Activities and Detector Projects // Physics // Physics Analysis Groups // Standard Model physics group","","JENNIFER, Roloff","Brookhaven BNL(United States of America)","2021-10-01","2023-09-30","inactive"
"Convener of subgroup: W, Z Physics // Activities and Detector Projects // Physics // Physics Analysis Groups // Standard Model physics group","","ALESSANDRO, Tricoli","Brookhaven BNL(United States of America)","2008-10-01","2010-09-30","inactive"
"Convener of subgroup: Electroweak Physics // Activities and Detector Projects // Physics // Physics Analysis Groups // Standard Model physics group","","VASILIKI, Kouskoura","Brookhaven BNL(United States of America)","2017-10-01","2019-09-30","inactive"
"Convener of subgroup: Electroweak Physics // Activities and Detector Projects // Physics // Physics Analysis Groups // Standard Model physics group","","MARC-ANDRE, Pleier","Brookhaven BNL(United States of America)","2013-04-01","2014-03-31","inactive"
"Convener of subgroup: HZZ (HSG2) // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs physics group","","HAIDER, Abidi","Brookhaven BNL(United States of America)","2022-10-01","2024-09-30","inactive"
"Convener of subgroup: HZZ (HSG2) // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs physics group","","GAETANO, Barone","Brookhaven BNL(United States of America)","2018-10-01","2020-09-30","inactive"
"Convener of subgroup: Hbb // Activities and Detector Projects // Physics // Physics Analysis Groups // Higgs physics group","","ANDREA, Sciandra","Brookhaven BNL(United States of America)","2023-10-01","2024-09-30","inactive"
"Convener of subgroup: Dibosons, Multileptons and Extra Dimensions (DBL) (discontinued, restarted under HDBS since 01.10.2018) // Activities and Detector Projects // Physics // Physics Analysis Groups // Exotics physics group","0","VIVIANA, Cavaliere","Brookhaven BNL(United States of America)","2015-04-01","2016-03-31","inactive"
"Convener of subgroup: Momentum Scale/Resolution // Activities and Detector Projects // Physics // Combined Performance Groups // Muon CP group","","HAIDER, Abidi","Brookhaven BNL(United States of America)","2020-10-01","2022-09-30","inactive"
"Convener of subgroup: Momentum Scale/Resolution // Activities and Detector Projects // Physics // Combined Performance Groups // Muon CP group","","GAETANO, Barone","Brookhaven BNL(United States of America)","2016-10-01","2018-09-30","inactive"
"Convener of subgroup: Etmiss (MET) // Activities and Detector Projects // Physics // Combined Performance Groups // Jet/Etmiss CP group","","CLAIRE, Lee","Brookhaven BNL(United States of America)","2015-04-01","2016-03-31","inactive"
"Convener of subgroup: Jet/Etmiss Software and Validation (JSV) // Activities and Detector Projects // Physics // Combined Performance Groups // Jet/Etmiss CP group","","DAVID, Adams","Brookhaven BNL(United States of America)","2012-10-01","2015-03-31","inactive"
"Convener of subgroup: Jet/Etmiss Software and Validation (JSV) // Activities and Detector Projects // Physics // Combined Performance Groups // Jet/Etmiss CP group","","JOHANNES, Elmsheuser","Brookhaven BNL(United States of America)","2016-10-01","2017-09-30","inactive"
"LAr Software & Data Preparation Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Software&Data Preparation","","HONG, Ma","Brookhaven BNL(United States of America)","2016-03-01","2017-02-28","inactive"
"LAr Software & Data Preparation Coordinator // Activities and Detector Projects // Liquid-Argon Calorimeter (LAr) // Software&Data Preparation","","HONG, Ma","Brookhaven BNL(United States of America)","2009-03-01","2016-02-29","inactive"
"Muon CSC Coordinator // Activities and Detector Projects // Muon Spectrometer // CSC","","VENETIOS, Polychronakos","Brookhaven BNL(United States of America)","2008-01-04","2016-08-31","inactive"
"Pixel Run Coordinator // Activities and Detector Projects // Inner Detector (ID) // Pixel // Level-3 Coordinators","0","ANDREA, Sciandra","Brookhaven BNL(United States of America)","2023-04-01","2023-09-30","inactive"
